name,id,brand,brand_id,price,sale_price,image_key
"Longchamp women's large tote bag, handbag, shoulder bag black classic style ",ZE94894E319EC24478F43Z,Longchamp,longchamp,399.9,161.7,pzsku/ZE94894E319EC24478F43Z/45/_/1724907436/31b40f26-fc95-4213-8d95-ad2bea6cf6cc
"4-Pair Non-slip Yoga Socks, Cotton Pilates Socks with Straps, Breathable&Moisture-Wicking&Machine-Washable, Ideal for Yoga/Pilates/Ballet/Dance/Workout (Pink+Black+Grey+Brown, Fit Size 36-42) ",Z249EBB45716CC045A863Z,Lemon,lemon,56.0,39.2,pzsku/Z249EBB45716CC045A863Z/45/_/1731035054/04ba3671-020a-4382-9569-232454dab15b
"Longchamp Women's Mini Makeup Bag, Handbag, Shoulder Bag Steel Grey Classic ",ZA63BF70F800CF9C3D86DZ,Longchamp,longchamp,399.9,147.5,pzsku/ZA63BF70F800CF9C3D86DZ/45/_/1724907073/1ee45fcd-24c6-4aac-8399-df06a363975d
"8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Pink/Black Color ",Z24E1B5B4FDE8BB5C6111Z,Bernessi,bernessi,165.0,69.9,pzsku/Z24E1B5B4FDE8BB5C6111Z/45/_/1696545863/416ec0f9-3357-47f8-9baa-22155bfb6ca6
Longchamp Le Pliage Original Large Black Tote Bag with Handle for Women L1899089001 ,Z806209A62BA1D05C47E5Z,Longchamp,longchamp,165.0,165.0,pzsku/Z806209A62BA1D05C47E5Z/45/_/1731037357/b1c77b23-c6f4-4cfb-96dc-7151a682843c
Lacoste Tote Bag Large Size Navy Blue ,Z8BEBE634C0D4211AB6E4Z,LACOSTE,lacoste,299.0,157.5,pzsku/Z8BEBE634C0D4211AB6E4Z/45/_/1734402649/1ed080cd-1df7-43f6-b29f-fb4aec8f30e2
"Longchamp Women's Mini Makeup Bag, Handbag, Shoulder Bag Black Classic（Strapless） ",Z798FC1A11A054EC807C5Z,Longchamp,longchamp,399.9,147.5,pzsku/Z798FC1A11A054EC807C5Z/45/_/1724906903/0b928bda-13f7-4e8e-b40d-867165b33e01
"Longchamp women's large tote bag, handbag, shoulder bag, navy blue classic style Topic: ",ZA20A29558D85EF0EDB9EZ,Longchamp,longchamp,399.9,161.7,pzsku/ZA20A29558D85EF0EDB9EZ/45/_/1724907222/22bdef87-bfb1-4c01-a902-8dfdfc899b2c
"8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Light Pink / Black Color ",Z212ACDF2F7760CD34A11Z,Bernessi,bernessi,180.0,61.25,pzsku/Z212ACDF2F7760CD34A11Z/45/_/1722546535/ac8701d0-7f56-452e-894a-d04074386284
Longchamp Le Pliage Original Large Navy Tote Bag for Women L1899089P68 ,Z8CEEC76F0B9EC0122F38Z,Longchamp,longchamp,165.0,165.0,pzsku/Z8CEEC76F0B9EC0122F38Z/45/_/1728721742/774b0ca3-3a45-4e12-848d-c47ddbd6f49e
MahMir Yoga Mat Anti Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CMX61CMX6MM Thickness for Woman Man Beginners (Dark Grey + Black) ,Z83C8A1AAB21D372A0063Z,MahMir,mahmir,69.95,49.95,pzsku/Z83C8A1AAB21D372A0063Z/45/_/1689886284/0da8d1cd-d60c-4431-8f30-01cf08fc266a
"3-Pair Non-slip Yoga Socks, Cotton Pilates Socks with Straps, Breathable&Moisture-wicking&Machine-washable, Ideal for Yoga/Pilates/Ballet/Dance/Workout (Purple+Black+Grey, Fit Size 36-42) ",Z230C9460E2B3F2772EA3Z,YooA,yooa,50.0,35.8,pzsku/Z230C9460E2B3F2772EA3Z/45/_/1725766992/143887b6-c772-4b8f-acf7-0573cf2159fc
Sports Yoga Socks for Women Pack Of 3 Pairs ,Z8DE7372A006C4309D78BZ,LIMOS,limos,39.0,39.0,pzsku/Z8DE7372A006C4309D78BZ/45/_/1708607473/4af6d117-c73f-451b-acc2-32a40f92d0b8
"Tycom Resistance Loop Bands- Resistance Exercise Bands Set Workout Bands Flex bands for Home Fitness, Stretching, Strength Training, Physical Therapy, Yoga ",ZE5D7520215AA49D4ED49Z,TYCOM,tycom,49.0,28.6,pzsku/ZE5D7520215AA49D4ED49Z/45/_/1691391413/01b84003-33bd-4590-95ed-d2f46881fa89
"Mahmir® EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Light Blue) ",Z1FFBA90CF03B4E1CDF5CZ,MahMir,mahmir,29.95,29.95,pzsku/Z1FFBA90CF03B4E1CDF5CZ/45/_/1694253482/5f94fb0b-3ee7-4c54-986b-301aed8758c0
Anti-Slip Yoga Mat With Carry Strap ,N27330175A,Fitness World,fitness_world,38.05,38.05,v1633533933/N27330175A_1
